kernel,n_true,events,seed,fitter,n_events,n_hat,se_n,converged,loglik,ks_stat,ks_p,seconds,beta_hat
exp,0.3,500,21,exp_profile,524,0.23082112119800155,0.03735108532283434,True,-570.1357917198229,0.022410360942715257,0.9496639243346062,0.13898870001139585,2.843481293916543
exp,0.3,500,21,grid_decade_const,524,0.27729392861202556,0.05383202788933504,True,-572.1050012249846,0.04202961360434748,0.3043299837608413,0.010001200003898703,
exp,0.3,500,21,grid_default_const,524,0.23801662365719348,0.055986540894878006,True,-570.1256606454604,0.022511424422583748,0.9478241094869304,0.010227699996903539,
exp,0.3,500,21,grid_default_spline2min,524,0.2327462879372681,0.0562089898391041,True,-569.4439219373262,0.024522803035049057,0.9031399478294931,0.01630970000405796,
exp,0.3,500,22,exp_true_beta,505,0.34067521504273063,0.04198344511417968,True,-548.0148580295298,0.027748220088965825,0.8210890820349118,0.00465740000072401,
exp,0.3,500,22,exp_profile,505,0.3449287604485227,0.04239296547753175,True,-548.0024706047901,0.02864872730090917,0.7904132754893836,0.15813329999218695,1.925853041050003
exp,0.3,500,22,grid_decade_const,505,0.3812261949410967,0.05123481483401831,True,-548.5882356781575,0.0304498589801524,0.7252949213666174,0.007772500001010485,
exp,0.3,500,22,grid_default_const,505,0.36312783989096364,0.053070264552108004,True,-547.8141556622331,0.02550776369871277,0.8891041183571113,0.010567300007096492,
exp,0.3,500,22,grid_default_spline2min,505,0.34499023970921056,0.05328624835491817,True,-545.318203328608,0.023404503567058588,0.9387417311528247,0.017814299993915483,
exp,0.3,500,23,exp_true_beta,483,0.320868544447374,0.04318388567333397,True,-551.6709023250863,0.02699551121415325,0.8634151533165652,0.004756499998620711,
exp,0.3,500,23,exp_profile,483,0.3568701657117319,0.04686275717161672,True,-550.9034669914722,0.024164652349468907,0.9339788174718088,0.11200569999346044,1.4739748260903578
exp,0.3,500,23,grid_decade_const,483,0.39301716712856466,0.052771636841394576,True,-552.061447321778,0.035875736069564845,0.5508224259056129,0.009389099999680184,
exp,0.3,500,23,grid_default_const,483,0.3733367136216325,0.05483063504986049,True,-551.2750876130208,0.027138190645939697,0.859222788389316,0.012975800011190586,
exp,0.3,500,23,grid_default_spline2min,483,0.3650847142288012,0.055203455960145156,True,-550.2073320020957,0.027940926249644393,0.8346832102043742,0.019149899992044084,
exp,0.3,500,24,exp_true_beta,512,0.2974420517955493,0.04131291274816801,True,-559.367914690626,0.02852489965334981,0.7879301131194025,0.3486434999940684,
exp,0.3,500,24,exp_profile,512,0.2932720560670489,0.040810643347529256,True,-559.3532038856729,0.02696097091828431,0.8406853944001924,0.16423210001084954,2.0880660330048975
exp,0.3,500,24,grid_decade_const,512,0.3452675770984452,0.052228060064083745,True,-562.2979360597081,0.04996557776305288,0.14996056432356242,0.01731399999698624,
exp,0.3,500,24,grid_default_const,512,0.32245991950879216,0.13087695787356934,True,-557.9820079300389,0.03101340023801047,0.696271603260916,0.015144600009080023,
exp,0.3,500,24,grid_default_spline2min,512,0.2852343859427368,0.053363061286883236,True,-553.8181190868646,0.02910746056142366,0.7671222546738681,0.023736300005111843,
exp,0.3,500,25,exp_true_beta,507,0.3184600085782843,0.04206507096321564,True,-554.6389642066224,0.0324190776110308,0.648703689514823,0.004669600006309338,
exp,0.3,500,25,exp_profile,507,0.3149480383470273,0.04167759560528632,True,-554.625767325837,0.033347532113409295,0.6134866700881134,0.1486154999874998,2.0692332948607746
exp,0.3,500,25,grid_decade_const,507,0.36660748447541375,0.0525633972367162,True,-558.7348105641406,0.043174396782641455,0.2926243484660017,0.011105199999292381,
exp,0.3,500,25,grid_default_const,507,0.33233805168017333,0.13283001750198786,True,-552.3944008940641,0.03275531697309825,0.6359318526054584,0.021779200003948063,
exp,0.3,500,25,grid_default_spline2min,507,0.2976747692838881,0.05457972536704168,True,-547.3740548906395,0.036334927942755085,0.5033750163008541,0.023518300004070625,
exp,0.3,500,26,exp_true_beta,491,0.26637309535936365,0.04129499321353241,True,-561.984592442633,0.02807786242233784,0.8230046157000366,0.004539000001386739,
exp,0.3,500,26,exp_profile,491,0.2244373151062667,0.035069419644361506,True,-560.3675698765625,0.020519891897198606,0.9832715423945597,0.14765250000345986,3.4405688316978176
exp,0.3,500,26,grid_decade_const,491,0.2639251580813478,0.05322900951910382,True,-562.1176561536932,0.03138551909414733,0.7065516374929213,0.009865899992291816,
exp,0.3,500,26,grid_default_const,491,0.2276384043849768,0.036157869591972376,True,-560.0270469509103,0.02166446532712374,0.9714918685253728,0.015109100000699982,
exp,0.3,500,26,grid_default_spline2min,491,0.22260698900978906,0.03616192676733317,True,-558.1761855370023,0.017909418109735453,0.9967602945695923,0.01841100001183804,
exp,0.3,500,27,exp_true_beta,556,0.33812262820366545,0.04111540183048177,True,-553.7502539661864,0.022497000724822802,0.9349737401142546,0.006535699998494238,
exp,0.3,500,27,exp_profile,556,0.34142143575505307,0.04144748977440604,True,-553.7423010704373,0.02212506398610592,0.9427054973622003,0.14347300000372343,1.9422294569155685
