kernel,fitter,n_true,events,mean,sd,bias,rmse,mean_se,coverage95,ks_reject5,converged,mean_events,seconds
mixture,grid_default_spline2min,0.9,5000,0.8913510161771354,0.016187122191457508,-0.00864898382286462,0.01820954111207984,0.01707146006313896,0.92,0.0,1.0,4893.66,0.1665636380005162
exp_offgrid,exp_true_beta,0.3,500,0.2999935003987425,0.03757995514603839,-6.499601257478615e-06,0.03720225813640227,0.036414955853804776,0.94,0.0,1.0,508.7,0.005742290000198409
exp_offgrid,exp_profile,0.3,500,0.298392574577589,0.03997466530009885,-0.0016074254224110256,0.0396055325052756,0.03621685870511767,0.96,0.0,1.0,508.7,0.14721377399895574
exp_offgrid,grid_decade_const,0.3,500,0.3496340416711229,0.049805961091491754,0.04963404167112287,0.0699611261891417,0.05684620181151156,0.9,0.0,1.0,508.7,0.01021340399980545
exp_offgrid,grid_default_const,0.3,500,0.3254820680833699,0.050908168719468745,0.025482068083369853,0.05647251192684803,0.06810263710662891,0.98,0.0,1.0,508.7,0.015787267999257892
exp_offgrid,grid_default_spline2min,0.3,500,0.3026357111746331,0.04216034863994453,0.0026357111746331103,0.04181975694440277,0.049767765059059756,0.96,0.0,1.0,508.7,0.019878267999738453
exp_offgrid,exp_true_beta,0.3,2000,0.2972151632889179,0.026706535191712823,-0.0027848367110820593,0.026584385586555525,0.029160536727654965,0.98,0.0,1.0,2012.08,0.00821617000096012
exp_offgrid,exp_profile,0.3,2000,0.30236272418103055,0.031752514281280085,0.00236272418103055,0.03152205871250899,0.029561784078897167,0.92,0.0,1.0,2012.08,0.20439094000030308
exp_offgrid,grid_decade_const,0.3,2000,0.3599475204094005,0.04987375124679085,0.05994752040940053,0.07766175664632967,0.05554959448418802,0.8,0.0,1.0,2012.08,0.019395365999953354
exp_offgrid,grid_default_const,0.3,2000,0.3330830746423066,0.058090946032208796,0.03308307464230663,0.06634422867504819,0.06816888942414229,0.94,0.0,1.0,2012.08,0.037640157998830547
exp_offgrid,grid_default_spline2min,0.3,2000,0.3085671437910084,0.04080225770871473,0.00856714379100845,0.04129072174449871,0.043212071823333933,0.96,0.0,1.0,2012.08,0.044918545999971686
exp_offgrid,exp_true_beta,0.3,5000,0.29451116630215507,0.0312842114781466,-0.005488833697844914,0.031452426701541025,0.027602674009799672,0.92,0.0,1.0,5010.08,0.009795925999933388
exp_offgrid,exp_profile,0.3,5000,0.2976034372714006,0.03987181453689135,-0.002396562728599428,0.03954377163962847,0.027759819828600863,0.82,0.0,1.0,5010.08,0.22770693200203823
exp_offgrid,grid_decade_const,0.3,5000,0.3560221732965257,0.04614419466607431,0.05602217329652571,0.07228544022290316,0.05400102894210085,0.78,0.02,1.0,5010.08,0.02524481599830324
exp_offgrid,grid_default_const,0.3,5000,0.32687160465006043,0.051503249689603584,0.02687160465006047,0.05763346398132782,0.05959136388173454,0.94,0.0,1.0,5010.08,0.06346874200040474
exp_offgrid,grid_default_spline2min,0.3,5000,0.30447886628509496,0.036673124920164515,0.004478866285094998,0.03657977546105982,0.04319729717871601,0.94,0.0,1.0,5010.08,0.09408024999924237
exp_offgrid,exp_true_beta,0.6,500,0.5888901557650906,0.045309280224445976,-0.011109844234909308,0.04620931611582421,0.03947886757536836,0.9,0.0,1.0,502.82,0.006140824001049623
exp_offgrid,exp_profile,0.6,500,0.5937877111202318,0.04437511771214123,-0.00621228887976822,0.04436620993112613,0.03966130859525674,0.9,0.0,1.0,502.82,0.15424338200013155
exp_offgrid,grid_decade_const,0.6,500,0.6391094673336242,0.04058884782881486,0.039109467333624165,0.056071881650512564,0.04542400936044715,0.88,0.1,1.0,502.82,0.009447662000311538
exp_offgrid,grid_default_const,0.6,500,0.6081486715642415,0.043827811006816896,0.008148671564241516,0.0441458981736486,0.0496243090819449,0.92,0.0,1.0,502.82,0.015862235999957192
