fitter,t0,t1,t_mid,n_events,n,se_n,mu_mean,converged,condition_number,beta_exp,alpha,timescales,edge_window,loglik_per_event,gain_over_poisson_per_event,ks_stat,ks_p,lb_stat,lb_p,dispersion_z,dispersion_p,heldout_gain_over_poisson_per_event,heldout_gain_kernel_only_per_event,heldout_n_events,boot_n,boot_mean,boot_sd,boot_lo,boot_hi
mix_spline,35100.0,35700.0,35400.0,2317,0.501640933333281,0.029194336681654,1.9244911078964666,True,152.57046973731835,,0.02258 0.00237 0.02116 0.05605 0.10685 0.02081 0.15328 0.00000 0.07724 0.00000 0.04130 0.00000 0.00000,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,1.47527737129239,1.12417850207616,0.0232231945883018,0.16168292443158483,17.51810724277931,0.06365730458329345,2.3783581472784427,0.01738992640082623,1.5101248463791042,1.2787994489494952,5373,100,0.5020045282325953,0.030317793312549694,0.4491890775839049,0.5500425456595124
mix_spline,35400.0,36000.0,35700.0,3575,0.6712230780716901,0.04856189161944643,1.9587062827657928,True,352.1865908313375,,0.00000 0.01931 0.06145 0.04562 0.14782 0.00836 0.15589 0.00000 0.05774 0.07224 0.00000 0.08372 0.01908,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,2.1143638099953193,1.3295730100833576,0.024049686387013547,0.031472636945165444,21.45571365065133,0.018130670790845738,2.8503096492727527,0.0043676684930178235,1.3919282654370249,1.3026241431262706,5736,100,0.6466886822019338,0.03670302624742244,0.5762427386249578,0.7206442590642123
mix_spline,35700.0,36300.0,36000.0,5373,0.7870712364680501,0.037873056903006706,1.9221856575703893,True,1568.0284837146446,,0.00000 0.02129 0.09374 0.07271 0.11957 0.00000 0.15868 0.00000 0.08766 0.04516 0.02879 0.03092 0.12855,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,2.518689656881451,1.3264776213687761,0.01703975463388241,0.0872912884896705,11.823418389356782,0.2970483203017626,2.8286761388444996,0.00467409722866636,1.3299145319397019,1.314138035020337,4495,100,0.7352476701701255,0.0355324278323709,0.6631708537996345,0.8027279835753798
mix_spline,36000.0,36600.0,36300.0,5736,0.7694565046544586,0.025196943607931167,2.2161488891468224,True,160.74086120054264,,0.00000 0.04614 0.05745 0.12249 0.07007 0.00000 0.17770 0.00000 0.09311 0.00000 0.05002 0.15249 0.00000,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,2.575712148187127,1.318124421123817,0.01959975958558058,0.024062478118758703,9.931463727112085,0.44652668730153156,2.2895514131969357,0.022047334281635796,1.372792755812257,1.2706692769735342,3717,100,0.7457728584389979,0.03034398909037628,0.6901668158463129,0.800755382901545
mix_spline,36300.0,36900.0,36600.0,4495,0.7578468207502714,0.0346530125178351,1.8052439443005335,True,680.9500666616088,,0.00000 0.05247 0.03440 0.11622 0.07244 0.00000 0.17914 0.01223 0.06244 0.00000 0.08584 0.08353 0.05913,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,2.333558453851687,1.3197671621621128,0.02161538535272023,0.029544778669062577,4.0924906121828615,0.9430781080797139,2.0552585137234622,0.0398540420971389,1.5116041790781352,1.5025663843757924,3857,100,0.7128156514364872,0.041122777256933335,0.6314375714086685,0.799388091709255
mix_spline,36600.0,37200.0,36900.0,3717,0.7425386552857419,0.03149123164340663,1.5837920460524955,True,712.4240021534248,,0.00000 0.03239 0.08245 0.05069 0.09816 0.00000 0.17489 0.00160 0.05526 0.01652 0.07999 0.15060 0.00000,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,2.099324897181246,1.2755823821001404,0.01824232747644816,0.16637164644461377,4.969984845866506,0.8931740113169198,2.02555759876768,0.04281014035199461,1.5044438624272283,1.5044276159982128,3500,100,0.7201126852198559,0.03312343020001594,0.6590164682206805,0.7854446437067566
mix_spline,36900.0,37500.0,37200.0,3857,0.7409235140774056,0.031186728623222575,1.6688572060747024,True,127.99892616578617,,0.00000 0.04376 0.10999 0.02196 0.11822 0.00000 0.17652 0.00000 0.07976 0.00000 0.07030 0.12043 0.00000,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,2.3709015807277307,1.5101862777356492,0.020958068255354845,0.06658334143054156,10.450086486702354,0.4019313745190328,2.0760332720529027,0.0378908738436238,1.2396281435235115,1.2163936676848361,3131,100,0.7260280260611793,0.030706796877773564,0.6646508714573901,0.7837979039747736
mix_spline,37200.0,37800.0,37500.0,3500,0.7018426113233255,0.03152358809787512,1.7398661396773756,True,148.79404413703625,,0.00208 0.03280 0.10613 0.00000 0.15159 0.00000 0.18857 0.00048 0.07079 0.00000 0.06857 0.08084 0.00000,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,2.273402093651073,1.5098135013897147,0.025776814124198744,0.018769144203475432,28.57935801766714,0.0014570538482902608,1.919691058099329,0.05489693439933022,1.2224350992743307,1.1379348370922016,2371,100,0.6872198800487597,0.035452378247812985,0.6224765454888841,0.7572860054098258
mix_spline,37500.0,38100.0,37800.0,3131,0.6465248068947832,0.056033237516139395,1.8412905914892754,True,915.2385125225409,,0.01105 0.00000 0.08811 0.02973 0.10757 0.02707 0.17386 0.00028 0.04972 0.00000 0.07266 0.06361 0.02286,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,1.8798366004082583,1.2276585342979989,0.019533258225203354,0.18088318568841444,16.248788975272273,0.09272857755268296,0.35084616436714,0.7257037617283544,1.1934415680227803,1.1522778219938798,2334,100,0.6151807308209387,0.03849966556377948,0.546059255329116,0.698027055308833
mix_spline,37800.0,38400.0,38100.0,2371,0.6337282390581961,0.0407947157515978,1.444585542487149,True,88.88285661791383,,0.00859 0.01242 0.06171 0.05962 0.09366 0.00000 0.15514 0.00000 0.04394 0.00000 0.00000 0.19864 0.00000,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,1.5309800440096304,1.1568426131603713,0.01605672093154914,0.5683271041054088,11.139032172296423,0.34678925405728284,-0.5524829235763405,0.5806175308494019,1.209685422273849,1.1926517506473462,2876,100,0.6047727629194505,0.048084153953839165,0.5051691970640801,0.6906158126982149
mix_spline,38100.0,38700.0,38400.0,2334,0.6624950989067832,0.03932575295626368,1.3143650761619223,True,97.21403920970116,,0.00176 0.03221 0.04990 0.04384 0.10320 0.00000 0.12159 0.04348 0.08454 0.00000 0.00000 0.18199 0.00000,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,1.5237796802934225,1.1653705226630675,0.01827377380076045,0.4119728246946961,7.813399736292392,0.6470579974842846,-0.18848486859050634,0.8504965760525711,1.4868694799875486,1.4682879667205362,2850,100,0.6305656886993772,0.04917734935399679,0.53365356674446,0.725211926399159
mix_spline,38400.0,39000.0,38700.0,2876,0.6739722483015943,0.03321227315777681,1.5615784164388733,True,136.0677959446076,,0.00000 0.05020 0.03812 0.05086 0.08638 0.00000 0.12471 0.08745 0.09066 0.00000 0.03780 0.10780 0.00000,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,1.780166870005285,1.212940806380494,0.018997648347792273,0.24724356191488517,12.24240720454383,0.26916067266775984,0.4372943274974132,0.6618979086480374,1.6255230663777651,1.624623981088626,2530,100,0.6552958305626396,0.03804409265463455,0.5911591114413706,0.7280876082478387
mix_spline,38700.0,39300.0,39000.0,2850,0.7045595836294821,0.028620221124244904,1.4005242809977156,True,116.84551393570561,,0.00705 0.01870 0.07839 0.06306 0.08180 0.00000 0.18375 0.04091 0.06754 0.00000 0.07434 0.08902 0.00000,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,2.0366358786759493,1.4784912606293996,0.014580354379521987,0.5745527716685568,24.152080545605738,0.007206794633823282,0.04453274452573884,0.9644797515015051,1.6422643980345157,1.6328426388891417,2443,100,0.6866089091489158,0.03804950902925604,0.623103703088933,0.7544530048084217
